Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
F,237,Y. Chermiti,4.9,4.9,Everton,1,0.08,1,0.11,0,0.00,0,0.00,2,0.15,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,238,Young,4.4,4.4,Everton,13,0.38,13,0.44,11,0.39,12,0.41,16,0.48,15,0.67,15,0.53,17,0.81,16,0.51,0.00
M,239,Adama,4.6,4.6,Fulham,67,2.38,61,2.58,53,2.40,48,3.40,47,1.02,48,2.36,48,3.18,48,1.94,43,2.03,0.00
M,240,Andreas,4.9,4.9,Fulham,53,1.95,33,1.56,33,1.61,34,2.54,34,0.79,33,1.76,33,2.38,33,1.46,32,1.59,0.00
D,241,Bassey,4.5,4.5,Fulham,90,1.92,87,1.84,85,2.17,84,3.86,83,1.32,83,2.41,81,3.98,81,1.81,80,1.98,0.00
G,242,Benda,3.9,3.9,Fulham,1,0.04,2,0.07,3,0.10,3,0.14,3,0.04,3,0.11,4,0.20,5,0.14,4,0.16,0.01
M,243,Cairney,4.8,4.8,Fulham,14,0.59,8,0.42,9,0.44,9,0.67,10,0.21,9,0.48,10,0.66,11,0.42,10,0.47,0.00
D,244,Castagne,4.2,4.2,Fulham,86,1.99,80,1.99,70,2.07,69,3.51,69,1.22,68,2.21,67,3.63,68,1.73,68,1.94,0.25
D,245,Diop,4.4,4.4,Fulham,32,0.82,34,0.88,35,1.01,35,1.78,39,0.65,37,1.20,37,1.93,41,1.00,38,1.07,0.00
M,246,Harris,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,247,Iwobi,5.6,5.6,Fulham,84,2.70,82,3.13,76,3.05,74,4.63,74,1.45,74,3.24,74,4.42,74,2.63,74,3.08,0.00
G,248,Leno,5.0,5.0,Fulham,94,3.23,93,3.13,92,3.38,92,4.98,92,1.54,92,3.52,91,4.86,90,2.75,90,3.12,0.00
M,249,Lukić,4.8,4.8,Fulham,33,1.09,80,2.35,77,2.34,76,3.58,75,1.11,75,2.46,74,3.35,74,2.00,75,2.35,0.00
D,250,Mbabu,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,251,Muniz,5.5,5.5,Fulham,36,1.57,37,1.94,37,1.99,38,3.11,37,0.96,36,2.07,37,2.84,36,1.78,37,2.06,0.00
F,252,Raúl,5.5,5.5,Fulham,66,2.66,62,3.20,60,3.12,59,4.82,59,1.53,58,3.31,58,4.45,59,2.76,57,3.13,0.08
D,253,Ream,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,254,Reed,4.7,4.7,Fulham,7,0.35,6,0.30,6,0.33,7,0.49,6,0.14,8,0.39,8,0.48,7,0.29,7,0.36,0.00
D,255,Robinson,5.0,5.0,Fulham,91,1.96,88,2.03,86,2.37,82,4.04,82,1.40,82,2.54,81,4.33,81,1.97,82,2.15,0.11
F,256,Stansfield,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,257,Tete,4.4,4.4,Fulham,6,0.17,13,0.40,25,0.87,27,1.51,27,0.50,28,1.05,29,1.66,28,0.84,29,0.95,0.00
F,258,Vinicius,5.0,5.0,Fulham,3,0.20,4,0.31,5,0.37,4,0.48,4,0.14,5,0.38,5,0.50,5,0.31,5,0.38,0.00
M,259,Wilson,5.2,5.2,Fulham,0,0.00,1,0.06,26,1.34,41,3.26,45,1.10,44,2.42,44,3.20,42,1.93,40,2.12,0.00
F,260,Al-Hamadi,4.7,4.7,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,261,Baggott,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,262,Broadhead,4.9,4.9,Ipswich,18,0.87,20,1.19,18,0.87,18,0.85,18,0.86,18,0.91,19,1.06,18,0.98,18,0.99,0.00
D,263,Burgess,3.8,3.8,Ipswich,9,0.23,10,0.33,13,0.28,11,0.26,10,0.22,11,0.33,13,0.37,12,0.41,15,0.50,0.00
M,264,Burns,4.8,4.8,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,265,Chaplin,5.1,5.1,Ipswich,7,0.34,13,0.82,24,1.16,26,1.18,27,1.25,27,1.30,25,1.41,26,1.44,24,1.33,0.00
D,266,H.Clarke,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,267,Davis,4.3,4.3,Ipswich,90,2.10,87,3.23,85,1.78,83,2.02,83,1.77,82,2.56,80,2.60,81,3.14,83,3.21,0.01
F,268,Delap,5.6,5.6,Ipswich,85,3.56,67,3.70,54,2.22,58,2.21,68,2.75,77,3.21,76,3.91,75,3.75,75,3.69,0.00
D,269,Edmundson,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,270,Greaves,3.9,3.9,Ipswich,88,1.69,86,2.62,82,1.36,79,1.67,80,1.37,78,2.12,78,2.03,80,2.61,75,2.47,0.29
